Strain,Sex,Age,ID,WBC x10^3/uL,RBC x10^6/uL,HGB g/dL,HGBCell g/dL,HCT %,MCV fL,MCH pg,MCHC g/dL,CH pg,CHCM g/dL,RDW %,HDW g/dL,PLT x10^3/uL,PDW% %,MPV fL,MPM pg,%NEUT ,%LYMPH ,%MONO ,%EOS ,%BASO ,%LUC ,%RETIC ,#RETIC 10^9cells/L,CHR pg,CHm pg,#NEUT 10^3cells/ul,#LYMPH 10^3cells/ul,#MONO 10^3cells/ul,#EOS 10^3cells/ul,#BASO 10^3cells/ul,#LUC 10^3cells/ul,,,,,,,,,
5557,F,16,15,0.50,5.98,9.3,8.4,28.1,47.0,15.6,33.2,14.0,30.0,13.4,2.35,433,38.1,4.7,1.22,70.3,9.6,4.6,14.4,1.2,1.1,3.74,223.7,15.8,14.5,0.35,0.05,0.02,0.07,0.01,0.01,,,,,,,,,
5557,F,16,16,2.52,9.47,13.5,,43.6,46,14.3,31,,,19.3,,1076,,5.1,,29.11,48.6,17.85,3.36,1.07,,,,,,0.73,1.22,0.45,0.08,0.03,,,,,,,,,,
5557,F,16,17,1.68,8.63,13.1,,43.2,50.1,15.2,30.3,,,22,,699,,5.5,,40.53,35.69,16.38,4.79,2.61,,,,,,0.68,0.6,0.28,0.08,0.04,,,,,,,,,,
5557,F,16,18,2.24,7.9,12.5,,37.4,47.3,15.8,33.4,,,19.2,,800,,5,,39.99,37.12,13.04,7.69,2.15,,,,,,0.9,0.83,0.29,0.17,0.05,,,,,,,,,,
5557,F,16,19,1.48,8.21,12.1,,38,46.3,14.7,31.8,,,18.3,,991,,5.2,,43.42,26.03,29.42,1.03,0.11,,,,,,0.64,0.39,0.44,0.02,0,,,,,,,,,,
5557,F,16,20,1.44,8.01,12.2,,37.6,47,15.2,32.4,,,17.8,,414,,5.4,,44.18,24.99,26.31,4.19,0.34,,,,,,0.64,0.36,0.38,0.06,0,,,,,,,,,,
5557,F,16,21,1.12,9.84,14.9,,44.9,45.6,15.1,33.2,,,18.2,,837,,5,,44.75,23.7,30.83,0.43,0.29,,,,,,0.5,0.27,0.35,0,0,,,,,,,,,,
5557,F,16,22,1.18,7.56,12,,35.6,47.1,15.9,33.7,,,19,,959,,5,,38.11,35.31,21.99,3.28,1.31,,,,,,0.45,0.42,0.26,0.04,0.02,,,,,,,,,,
5557,F,16,23,1.08,7.3,11.3,,34.3,47,15.5,32.9,,,18.1,,982,,4.9,,32.39,40.51,24.85,2.1,0.15,,,,,,0.35,0.44,0.27,0.02,0,,,,,,,,,,
5557,F,16,24,0.82,8.58,12.9,,40.2,46.9,15,32.1,,,19,,844,,5.3,,52.72,20.15,24.17,2.96,0,,,,,,0.43,0.17,0.2,0.02,0,,,,,,,,,,
5557,F,16,25,1.14,8.17,12.2,,38.2,46.7,14.9,31.9,,,19,,1074,,5.1,,54.24,24.19,20.2,1.22,0.14,,,,,,0.62,0.28,0.23,0.01,0,,,,,,,,,,
